Datei Index,Lebensalter,Geschlecht ,Händigkeit,Bundesland / Land,Freitext,Potenzielle Bildprobleme,Vermerkt Herkunft
74,36,Weiblich,Rechts,Rheinland-Pfalz,,,Opmform
75,33,Weiblich,Rechts,Nordrhein-Westfalen,,,Opmform
76,56,Männlich,Rechts,Berlin (Ost),,,Opmform
77,14,Weiblich,Rechts,Berlin (West),,,Opmform
78,36,Männlich,Rechts,Berlin (Ost),,,Opmform
79,13,Männlich,Rechts,Berlin ,,,Klasse 7
80,17,Weiblich,Rechts,Berlin,,,Klasse 13
81,13,Weiblich,Links,Berlin,,,Klasse 7
82,13,Männlich,Rechts,Hessen,,,
83,19,Weiblich,Rechts,Berlin,,,
84,14,Weiblich,Rechts,Berlin,,,
85,14,Männlich,Rechts,Berlin,,,
86,13,Weiblich,Rechts,Bayern,,,
87,14,Männlich,Rechts,Berlin,,,
88,13,Weiblich,Rechts,Berlin,,,
89,14,Männlich,Rechts,Berlin,,,
90,14,Weiblich,Rechts,Berlin,,,
91,14,Weiblich,Rechts,Berlin,,,
92,14,Weiblich,Rechts,Berlin,,,
93,12,Weiblich,Rechts,Berlin,,,
94,14,Weiblich,Rechts,Berlin,,,
95,16,Männlich,Rechts,Berlin,,,
96,15,Männlich,Links,Berlin,,,
97,13,Weiblich,Rechts,Berlin,,,
98,13,Männlich,Links,Berlin,,,
99,12,Weiblich,Rechts,Berlin,,,
100,14,Weiblich,Rechts,Berlin,,,
101,13,Männlich,Rechts,Mecklenburg-Vorpommern,,,
102,13,Weiblich,Links,Berlin,,,
103,13,Weiblich,Rechts,Berlin,,,
104,17,Männlich,Rechts,Ausland,,,
105,16,Männlich,Rechts,Berlin,,,
106,15,Männlich,Rechts,Berlin,,,
107,15,Männlich,Rechts,Berlin,,,
108,16,Männlich,Rechts,Ausland,,,
109,15,Weiblich,Rechts,Ausland,,,
110,14,Weiblich,Rechts,Berlin,,,
111,15,Weiblich,Rechts,Berlin,,,
112,15,Weiblich,Rechts,Berlin,,,
113,15,Männlich,Rechts,Berlin,,,
114,16,Männlich,Rechts,Berlin,,,
115,18,Männlich,Rechts,Berlin,,,
116,18,Männlich,Rechts,Berlin,,,
117,17,Männlich,Rechts,Berlin,,,
118,18,Männlich,Rechts,Berlin,,,
119,18,Männlich,Rechts,Berlin,,,
120,19,Männlich,Rechts,Berlin,,,
121,17,Männlich,Rechts,Berlin,,,
122,19,Männlich,Rechts,Berlin,,,
123,17,Weiblich,Rechts,Berlin,,,
124,17,Weiblich,Rechts,Berlin,,,
125,14,Männlich,Rechts,Berlin,,,
126,14,Weiblich,Rechts,Berlin,,,
127,,,,,,,
128,,,,,,,
129,,,,,,,
130,,,,,,,
131,,,,,,,
132,,,,,,,
133,,,,,,,
134,,,,,,,
